Date,Close
1/2/2013 16:00:00,37.6
1/3/2013 16:00:00,37.6
1/4/2013 16:00:00,37.66
1/7/2013 16:00:00,37.3
1/8/2013 16:00:00,37.04
1/9/2013 16:00:00,37.03
1/10/2013 16:00:00,36.96
1/11/2013 16:00:00,36.91
1/14/2013 16:00:00,36.99
1/15/2013 16:00:00,37.32
1/16/2013 16:00:00,37.32
1/17/2013 16:00:00,37.51
1/18/2013 16:00:00,37.7
1/22/2013 16:00:00,37.13
1/23/2013 16:00:00,37.13
1/24/2013 16:00:00,37.11
1/25/2013 16:00:00,37.05
1/28/2013 16:00:00,37.01
1/29/2013 16:00:00,37.42
1/30/2013 16:00:00,37.5
1/31/2013 16:00:00,37.24
2/1/2013 16:00:00,37.54
2/4/2013 16:00:00,37.35
2/5/2013 16:00:00,38.14
2/6/2013 16:00:00,38.31
2/7/2013 16:00:00,38.91
2/8/2013 16:00:00,38.77
2/11/2013 16:00:00,38.61
2/12/2013 16:00:00,37.56
2/13/2013 16:00:00,37.21
2/14/2013 16:00:00,36.84
2/15/2013 16:00:00,37.42
2/19/2013 16:00:00,37.67
2/20/2013 16:00:00,37.73
2/21/2013 16:00:00,37.71
2/22/2013 16:00:00,38.52
2/25/2013 16:00:00,37.72
2/26/2013 16:00:00,38.11
2/27/2013 16:00:00,38.45
2/28/2013 16:00:00,38.72
3/1/2013 16:00:00,38.7
3/4/2013 16:00:00,38.82
3/5/2013 16:00:00,38.68
3/6/2013 16:00:00,39.02
3/7/2013 16:00:00,39.12
3/8/2013 16:00:00,39.22
3/11/2013 16:00:00,39.31
3/12/2013 16:00:00,38.96
3/13/2013 16:00:00,38.59
3/14/2013 16:00:00,39.02
3/15/2013 16:00:00,38.83
3/18/2013 16:00:00,38.76
3/19/2013 16:00:00,39.33
3/20/2013 16:00:00,39.87
3/21/2013 16:00:00,40.07
3/22/2013 16:00:00,40.04
3/25/2013 16:00:00,40.12
3/26/2013 16:00:00,40.69
3/27/2013 16:00:00,40.22
3/28/2013 16:00:00,40.44
4/1/2013 16:00:00,40.45
4/2/2013 16:00:00,40.72
4/3/2013 16:00:00,40.17
4/4/2013 16:00:00,40.54
4/5/2013 16:00:00,40.08
4/8/2013 16:00:00,40.86
4/9/2013 16:00:00,40.71
4/10/2013 16:00:00,41.07
4/11/2013 16:00:00,41.18
4/12/2013 16:00:00,41.08
4/15/2013 16:00:00,40.09
4/16/2013 16:00:00,42.37
4/17/2013 16:00:00,42.55
